r,p(r),s,v,p(z),z,,r,z=T(r)
108,0.00299072265625,0.7416343688964844,0.44126249086034575,0.0030465513039239583,108,,108,201
109,0.003021240234375,0.7446556091308594,0.4443090421642697,0.0030465513039239583,109,,109,202
110,0.0030975341796875,0.7477531433105469,0.44735559346819365,0.0030465513039239583,110,,110,202
111,0.003192901611328125,0.750946044921875,0.4504021447721176,0.0030465513039239583,111,,111,203
112,0.002925872802734375,0.7538719177246094,0.45344869607604155,0.0030465513039239583,112,,112,204
113,0.00287628173828125,0.7567481994628906,0.4564952473799655,0.0030465513039239583,113,,113,204
114,0.0028076171875,0.7595558166503906,0.45954179868388945,0.0030465513039239583,114,,114,205
115,0.0026092529296875,0.7621650695800781,0.4625883499878134,0.0030465513039239583,115,,115,205
116,0.0025482177734375,0.7647132873535156,0.46563490129173735,0.0030465513039239583,116,,116,206
117,0.0026397705078125,0.7673530578613281,0.4686814525956613,0.0030465513039239583,117,,117,207
118,0.002666473388671875,0.77001953125,0.47172800389958525,0.0030465513039239583,118,,118,207
119,0.00270843505859375,0.7727279663085938,0.4747745552035092,0.0030465513039239583,119,,119,208
120,0.0026092529296875,0.7753372192382812,0.47782110650743315,0.0030465513039239583,120,,120,208
121,0.002468109130859375,0.7778053283691406,0.4808676578113571,0.0030465513039239583,121,,121,209
122,0.002582550048828125,0.7803878784179688,0.48391420911528105,0.0030465513039239583,122,,122,209
123,0.002529144287109375,0.7829170227050781,0.486960760419205,0.0030465513039239583,123,,123,210
124,0.002277374267578125,0.7851943969726562,0.49000731172312895,0.0030465513039239583,124,,124,210
125,0.002429962158203125,0.7876243591308594,0.4930538630270529,0.0030465513039239583,125,,125,211
126,0.002185821533203125,0.7898101806640625,0.49610041433097685,0.0030465513039239583,126,,126,211
127,0.002231597900390625,0.7920417785644531,0.4991469656349008,0.0030465513039239583,127,,127,212
128,0.002246856689453125,0.7942886352539062,0.5021935169388247,0.0030465513039239583,128,,128,212
129,0.002330780029296875,0.7966194152832031,0.5052400682427487,0.0030465513039239583,129,,129,213
130,0.00238037109375,0.7989997863769531,0.5082866195466726,0.0030465513039239583,130,,130,213
131,0.002353668212890625,0.8013534545898438,0.5113331708505966,0.0030465513039239583,131,,131,214
132,0.002288818359375,0.8036422729492188,0.5143797221545205,0.0030465513039239583,132,,132,214
133,0.001922607421875,0.8055648803710938,0.5174262734584445,0.0030465513039239583,133,,133,215
134,0.001880645751953125,0.8074455261230469,0.5204728247623684,0.0030465513039239583,134,,134,215
135,0.002033233642578125,0.809478759765625,0.5235193760662924,0.0030465513039239583,135,,135,215
136,0.001979827880859375,0.8114585876464844,0.5265659273702163,0.0030465513039239583,136,,136,216
137,0.00176239013671875,0.8132209777832031,0.5296124786741403,0.0030465513039239583,137,,137,216
138,0.001735687255859375,0.8149566650390625,0.5326590299780642,0.0030465513039239583,138,,138,217
139,0.001697540283203125,0.8166542053222656,0.5357055812819882,0.0030465513039239583,139,,139,217
140,0.001636505126953125,0.8182907104492188,0.5387521325859121,0.0030465513039239583,140,,140,217
141,0.0017547607421875,0.8200454711914062,0.5417986838898361,0.0030465513039239583,141,,141,218
142,0.001560211181640625,0.8216056823730469,0.54484523519376,0.0030465513039239583,142,,142,218
143,0.001575469970703125,0.82318115234375,0.547891786497684,0.0030465513039239583,143,,143,218
144,0.001544952392578125,0.8247261047363281,0.550938337801608,0.0030465513039239583,144,,144,219
145,0.001415252685546875,0.826141357421875,0.5539848891055319,0.0030465513039239583,145,,145,219
146,0.001575469970703125,0.8277168273925781,0.5570314404094558,0.0030465513039239583,146,,146,219
147,0.00141143798828125,0.8291282653808594,0.5600779917133798,0.0030465513039239583,147,,147,220
148,0.001377105712890625,0.83050537109375,0.5631245430173037,0.0030465513039239583,148,,148,220
149,0.001544952392578125,0.8320503234863281,0.5661710943212277,0.0030465513039239583,149,,149,220
150,0.001628875732421875,0.83367919921875,0.5692176456251516,0.0030465513039239583,150,,150,221
151,0.001384735107421875,0.8350639343261719,0.5722641969290756,0.0030465513039239583,151,,151,221
152,0.00164794921875,0.8367118835449219,0.5753107482329995,0.0030465513039239583,152,,152,221
153,0.0015869140625,0.8382987976074219,0.5783572995369235,0.0030465513039239583,153,,153,221
154,0.001514434814453125,0.839813232421875,0.5814038508408474,0.0030465513039239583,154,,154,222
155,0.00136566162109375,0.8411788940429688,0.5844504021447714,0.0030465513039239583,155,,155,222
156,0.00142669677734375,0.8426055908203125,0.5874969534486953,0.0030465513039239583,156,,156,222
157,0.00141143798828125,0.8440170288085938,0.5905435047526193,0.0030465513039239583,157,,157,223
158,0.00152587890625,0.8455429077148438,0.5935900560565432,0.0030465513039239583,158,,158,223
159,0.001354217529296875,0.8468971252441406,0.5966366073604672,0.0030465513039239583,159,,159,223
160,0.0013580322265625,0.8482551574707031,0.5996831586643911,0.0030465513039239583,160,,160,224
161,0.001331329345703125,0.8495864868164062,0.6027297099683151,0.0030465513039239583,161,,161,224
162,0.00138092041015625,0.8509674072265625,0.605776261272239,0.0030465513039239583,162,,162,224
